C1,19.964,28.622,21.793,0.621100,1.908,0.086
C2,18.591,29.242,21.936,0.063700,1.908,0.1094
C3,17.938,29.352,20.56,-0.089400,1.908,0.1094
C4,18.516,30.51,19.76,-0.083400,1.908,0.1094
C5,18.261,31.813,20.491,-0.098400,1.908,0.1094
C6,18.979,31.722,21.823,0.084000,1.908,0.1094
C8,17.895,30.641,23.795,0.595100,1.908,0.086
C9,17.727,31.953,24.508,0.504100,1.908,0.086
C10,18.806,32.419,25.509,0.271600,1.908,0.1094
C11,19.432,31.287,26.33,-0.059700,1.908,0.1094
C12,20.773,31.749,26.905,-0.105400,1.908,0.1094
C13,21.707,32.472,25.896,0.119100,1.908,0.1094
C14,20.879,33.641,25.251,0.120100,1.908,0.1094
C15,21.566,34.517,24.194,0.156100,1.908,0.1094
C16,22.406,33.682,23.214,-0.080400,1.908,0.1094
C17,22.926,34.397,21.94,-0.053700,1.908,0.1094
C18,24.321,34.971,22.243,-0.051200,1.908,0.1094
C19,25.408,33.947,22.06,-0.100400,1.908,0.086
C20,25.899,33.336,23.13,-0.185200,1.908,0.086
C21,26.951,32.237,23.12,-0.120500,1.908,0.1094
C22,26.218,30.91,23.254,0.583100,1.908,0.086
C23,25.84,30.225,21.947,-0.187400,1.908,0.1094
C24,24.769,29.174,22.098,0.149100,1.908,0.1094
C25,23.324,29.818,22.186,-0.099700,1.908,0.1094
C26,22.261,28.687,22.383,0.181300,1.908,0.1094
C27,22.57,27.848,23.62,-0.142400,1.908,0.086
C28,22.881,26.576,23.404,-0.143200,1.908,0.086
C29,23.321,25.611,24.474,-0.033500,1.908,0.1094
C30,22.438,24.356,24.477,-0.097400,1.908,0.1094
C31,22.975,23.133,25.206,0.102100,1.908,0.1094
C32,24.41,22.91,24.788,0.149100,1.908,0.1094
C33,25.235,24.158,25.032,-0.077400,1.908,0.1094
C34,24.735,25.229,24.086,-0.075400,1.908,0.1094
C35,18.523,30.823,27.459,-0.100100,1.908,0.1094
C36,21.996,35.541,21.502,-0.092100,1.908,0.1094
C37,25.817,33.733,20.588,-0.065900,1.908,0.1094
C38,27.951,32.44,24.303,-0.044200,1.908,0.1094
C39,29.006,31.351,24.563,-0.172200,1.908,0.086
C40,29.752,30.769,23.642,-0.217000,1.908,0.086
C41,22.972,30.605,20.888,-0.093100,1.908,0.1094
C42,22.499,28.517,25.001,-0.070900,1.908,0.1094
C43,24.048,32.094,26.508,0.111700,1.908,0.1094
C44,21.649,36.654,25.316,0.110700,1.908,0.1094
C45,21.177,21.679,25.923,0.116700,1.908,0.1094
N7,18.477,30.555,22.581,-0.443800,1.824,0.17
O1,20.924,29.273,22.46,-0.426900,1.6837,0.17
O2,20.122,27.647,21.071,-0.545000,1.6612,0.21
O3,17.458,29.628,24.376,-0.584100,1.6612,0.21
O4,16.719,32.625,24.281,-0.475100,1.6612,0.21
O5,19.773,33.0,24.604,-0.458600,1.6837,0.17
O6,18.33,33.425,26.371,-0.595800,1.721,0.2104
O7,22.913,32.99,26.524,-0.413600,1.6837,0.17
O8,22.375,35.486,24.88,-0.411600,1.6837,0.17
O9,25.931,30.441,24.364,-0.549100,1.721,0.2104
O10,24.845,28.287,20.973,-0.600800,1.721,0.2104
O11,22.231,21.923,24.979,-0.432600,1.6837,0.17
O12,24.898,21.836,25.57,-0.602800,1.721,0.2104
HO12,24.258,21.468,25.972,0.416000,0.0,0.0
HO10,24.441,27.572,21.152,0.405000,0.0,0.0
H453,21.551,21.614,26.816,0.035700,1.487,0.0157
H452,20.539,22.409,25.892,0.035700,1.487,0.0157
H451,20.728,20.849,25.7,0.035700,1.487,0.0157
H443,21.26,37.099,24.547,0.038367,1.487,0.0157
H442,20.943,36.388,25.926,0.038367,1.487,0.0157
H441,22.255,37.261,25.769,0.038367,1.487,0.0157
H433,23.821,31.276,26.978,0.040033,1.487,0.0157
H432,24.283,31.885,25.59,0.040033,1.487,0.0157
H431,24.802,32.519,26.945,0.040033,1.487,0.0157
H423,23.132,29.251,25.038,0.053033,1.487,0.0157
H422,21.602,28.855,25.151,0.053033,1.487,0.0157
H421,22.718,27.867,25.687,0.053033,1.487,0.0157
H413,23.618,31.316,20.755,0.042700,1.487,0.0157
H412,22.994,30.003,20.128,0.042700,1.487,0.0157
H411,22.084,30.987,20.971,0.042700,1.487,0.0157
H402,30.395,30.089,23.897,0.112500,1.459,0.015
H401,29.657,31.022,22.71,0.112500,1.459,0.015
H382,28.42,33.276,24.154,0.062700,1.487,0.0157
H381,27.431,32.547,25.115,0.062700,1.487,0.0157
H373,25.048,33.432,20.079,0.043700,1.487,0.0157
H372,26.142,34.568,20.218,0.043700,1.487,0.0157
H371,26.518,33.064,20.541,0.043700,1.487,0.0157
H363,21.114,35.186,21.311,0.035033,1.487,0.0157
H362,21.933,36.197,22.213,0.035033,1.487,0.0157
H361,22.354,35.962,20.705,0.035033,1.487,0.0157
H353,18.345,31.565,28.057,0.053033,1.487,0.0157
H352,17.687,30.499,27.089,0.053033,1.487,0.0157
H351,18.957,30.108,27.951,0.053033,1.487,0.0157
H342,24.755,24.904,23.172,0.046700,1.487,0.0157
H341,25.314,26.006,24.124,0.046700,1.487,0.0157
H332,25.148,24.449,25.953,0.057700,1.487,0.0157
H331,26.176,23.98,24.878,0.057700,1.487,0.0157
H32A,18.067,28.524,20.072,0.070200,1.487,0.0157
H31A,16.981,29.474,20.663,0.070200,1.487,0.0157
H302,21.583,24.59,24.871,0.057200,1.487,0.0157
H301,22.267,24.106,23.556,0.057200,1.487,0.0157
H232,25.536,30.896,21.316,0.086700,1.487,0.0157
H231,26.632,29.815,21.566,0.086700,1.487,0.0157
H182,24.491,35.728,21.661,0.059700,1.487,0.0157
H181,24.342,35.303,23.154,0.059700,1.487,0.0157
H162,23.172,33.332,23.696,0.059700,1.487,0.0157
H161,21.874,32.92,22.935,0.059700,1.487,0.0157
H122,20.601,32.345,27.651,0.065200,1.487,0.0157
H121,21.24,30.977,27.261,0.065200,1.487,0.0157
HO6,17.545,33.631,26.155,0.430000,0.0,0.0
H62,19.935,31.639,21.68,0.068700,1.487,0.0157
H61,18.838,32.535,22.333,0.068700,1.487,0.0157
H52,18.589,32.566,19.975,0.056200,1.487,0.0157
H51,17.31,31.952,20.623,0.056200,1.487,0.0157
H42,19.469,30.382,19.632,0.050700,1.487,0.0157
H41,18.112,30.539,18.878,0.050700,1.487,0.0157
H39,29.134,31.068,25.482,0.121000,1.459,0.015
H32,24.468,22.707,23.841,0.048700,1.487,0.0157
H31,22.893,23.325,26.153,0.050700,1.487,0.0157
H29,23.261,26.005,25.358,0.059700,1.487,0.0157
H28,22.821,26.245,22.494,0.127000,1.459,0.015
H26,22.295,28.091,21.618,0.074700,1.487,0.0157
H25,23.317,30.432,22.937,0.075700,1.487,0.0157
H24,24.918,28.69,22.925,0.064700,1.487,0.0157
H21,27.465,32.256,22.298,0.071700,1.487,0.0157
H20,25.558,33.614,23.994,0.153000,1.459,0.015
H2,18.15,28.631,22.546,0.122700,1.387,0.0157
H17,22.959,33.751,21.217,0.041700,1.487,0.0157
H15,20.893,34.964,23.657,0.046700,1.487,0.0157
H14,20.678,34.256,25.974,0.069700,1.487,0.0157
H13,22.006,31.838,25.226,0.058700,1.487,0.0157
H11,19.565,30.533,25.734,0.069700,1.487,0.0157
